2020-11-25 22:48:44,030.30  | VALIDATOR  | INFO | ------------------------------------------------
2020-11-25 23:04:45,713.713  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0.0
2020-11-25 23:04:45,713.713  | VALIDATOR  | INFO | CORRECT  Actual value: 173.03
2020-11-25 23:04:45,913.913  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 23:04:45,913.913  | VALIDATOR  | INFO | 136819-instance-300.txt
2020-11-25 23:04:45,929.929  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 23:04:46,814.814  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0.0
2020-11-25 23:04:46,814.814  | VALIDATOR  | INFO | CORRECT  Actual value: 142.18
2020-11-25 23:04:47,014.14  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 23:04:47,014.14  | VALIDATOR  | INFO | 136819-instance-350.txt
2020-11-25 23:04:47,014.14  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 23:04:48,155.155  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0.0
2020-11-25 23:04:48,155.155  | VALIDATOR  | INFO | CORRECT  Actual value: 176.16
2020-11-25 23:04:48,355.355  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 23:04:48,355.355  | VALIDATOR  | INFO | 136819-instance-400.txt
2020-11-25 23:04:48,355.355  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 23:04:49,263.263  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0.0
2020-11-25 23:04:49,266.266  | VALIDATOR  | INFO | CORRECT  Actual value: 352.7
2020-11-25 23:04:49,672.672  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 23:04:49,672.672  | VALIDATOR  | INFO | 136819-instance-100.txt
2020-11-25 23:04:49,672.672  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 23:04:50,556.556  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0
2020-11-25 23:04:50,556.556  | VALIDATOR  | INFO | CORRECT  Actual value: 99.44
2020-11-25 23:04:50,772.772  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 23:04:50,772.772  | VALIDATOR  | INFO | 136819-instance-150.txt
2020-11-25 23:04:50,772.772  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 23:04:51,657.657  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0
2020-11-25 23:04:51,657.657  | VALIDATOR  | INFO | CORRECT  Actual value: 77.73
2020-11-25 23:04:51,857.857  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 23:04:51,857.857  | VALIDATOR  | INFO | 136819-instance-200.txt
2020-11-25 23:04:51,857.857  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 23:04:52,705.705  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0
2020-11-25 23:04:52,705.705  | VALIDATOR  | INFO | CORRECT  Actual value: 190.47
2020-11-25 23:04:52,908.908  | VALIDATOR  | INFO | ------------------------------------------------

